cust_id,name,phone_number,password
1,Sandra,9286835051,1234
2,Todd,8804190359,1234
3,Bertha,7939137063,1234
4,Steven,8787869862,1234
5,Toni,8503345196,1234
6,Cherie,8603475791,1234
7,Ethel,8652643918,1234
8,Rolando,8921430114,1234
9,Kenneth,9338257642,1234
10,Dorothy,8332857026,1234
11,Kevin,9006973533,1234
12,Jason,9458147437,1234
13,Tony,8742775608,1234
14,Don,7072506174,1234
15,Michelle,7372689522,1234
16,Leonard,8387657481,1234
17,Leonard,7272927705,1234
18,Carol,7064358723,1234
19,Larry,8865194233,1234
20,Rolando,8991688760,1234
21,Ricky,9593075065,1234
22,Catherine,9633768699,1234
23,Chester,7046338148,1234
24,Frances,8885452142,1234
25,Emily,7945819058,1234
26,David,7127080853,1234
27,Shirley,9191255753,1234
28,Abdul,8196062372,1234
29,Virginia,9979873745,1234
30,Anna,7181678690,1234
31,Charles,7111486556,1234
32,Rachael,9703446762,1234
33,Anna,8924279234,1234
34,Douglas,9536202109,1234
35,Enriqueta,7878388928,1234
36,Walter,7860167886,1234
37,Raymond,9858137592,1234
38,Keith,9352697297,1234
39,Dana,8299367143,1234
40,Jodi,8236591784,1234
41,Michael,7539142421,1234
42,Elizabeth,9726644275,1234
43,Lance,7936523235,1234
44,Janelle,9900554548,1234
45,James,9627455115,1234
46,Ricardo,9937284053,1234
47,Charissa,7581262962,1234
48,Eric,9068504905,1234
49,Ashley,8446387013,1234
50,Viola,8390268333,1234
51,Joe,8373679142,1234
52,Jeffrey,7606942757,1234
53,Jose,9610950361,1234
54,William,9173213283,1234
55,Kip,7388306182,1234
56,Lee,7443323198,1234
57,Stephanie,8181715290,1234
58,Helen,7272044916,1234
59,Raymond,9716133975,1234
60,Imogene,9035532087,1234
61,Darren,9566985956,1234
62,John,9691307847,1234
63,Debra,7395184183,1234
64,Jonathan,7275193822,1234
65,Margaret,8288070070,1234
66,Stacy,9380837382,1234
67,Timothy,9990961523,1234
68,Destiny,7473923000,1234
69,Jacklyn,9667154953,1234
70,Peggy,7462574275,1234
71,Virginia,7457659682,1234
72,Preston,7196572515,1234
73,Jean,9431739853,1234
74,Pauline,9708785694,1234
75,Miguel,8686939014,1234
76,Martha,8224261528,1234
77,Kimberlee,9402656702,1234
78,Tyler,9392275217,1234
79,Stacy,7680583499,1234
80,Margaret,7679121661,1234
81,Virgie,9061490591,1234
82,Ervin,7429673366,1234
83,Steven,8173596123,1234
84,Ollie,7392001745,1234
85,William,9150699167,1234
86,Cynthia,7060631172,1234
87,Jeri,7590604292,1234
88,Paul,7669168247,1234
89,Kimberly,8047942684,1234
90,Darrel,8596105984,1234
91,Marie,9754118518,1234
92,Wilburn,8557450724,1234
93,Daniel,8083872383,1234
94,Karen,9264841904,1234
95,Jessica,7522232901,1234
96,Jorge,8249720333,1234
97,Kenneth,8044484749,1234
98,Marvin,9132081088,1234
99,Robert,9037386743,1234
100,Teresa,9156465754,1234
